target_id	bioactivity
P02766	1
P55789	1
Q9Y3R4	0
P06211	1
P0C869	0
Q9WUL0	1
P00519	1
P08842	1
P35218	1
P51635	1
Q15746	1
P52732	1
Q9NWT6	0
Q01062	0
P16083	1
P19785	1
P80276	0
P09917	1
Q99707	0
Q62986	1
Q96S37	1
P18054	1
P06241	0
P27708	0
P10415	1
O60674	0
Q12931	0
P08575	0
O43570	1
O95470	0
Q91WR5	0
Q9UHI8	0
Q9Y5Y6	0
P26358	0
P28223	0
P22748	1
Q9JKC1	0
P34949	0
P49841	1
P21398	1
P30518	0
P35462	1
P68400	1
Q13564	0
Q9HCR9	0
P01024	0
P23975	1
P14061	1
P51812	1
P21588	1
P00749	0
P01375	1
Q03114	0
Q15858	0
P11064	1
P45452	1
P04406	0
P15692	1
P56560	0
P34158	0
P14735	0
P32300	1
P10275	1
P00371	0
P24063	0
Q9UBN7	1
P0DP23	0
P35367	0
P27487	0
P36888	1
B2RXH2	1
P27169	1
P19174	0
P51813	0
Q9ULX7	1
Q9Y2D0	0
P24557	1
P34913	0
O14746	1
P04054	1
Q7Z2W7	0
P79400	1
P00747	1
P60568	1
P12821	0
O08537	1
P05979	0
Q9R1M7	0
Q9BY41	1
P41143	1
P22736	0
P10686	1
Q14469	0
P43116	1
P15207	0
P18825	1
P00591	0
Q07817	1
P08253	1
P28776	0
P07900	0
P03956	0
Q01959	0
Q96GD4	1
O75762	0
Q9Y256	0
P17538	0
Q8NER1	0
O43451	0
P35869	1
P31749	1
Q9Z1T6	0
P30291	1
Q8NFD2	0
P79291	1
Q16875	1
P27695	1
P17599	1
P13807	0
P27986	1
P11717	0
P11388	1
P00734	1
Q99895	0
P29275	1
P11474	1
Q00796	0
P38398	0
P11309	1
P05164	1
Q9D6N1	1
Q8NB78	0
Q93009	0
Q9NPH5	1
Q16678	1
P29372	0
P00451	0
P22985	0
P37058	1
Q14191	0
P07451	1
Q9UKK3	0
P79208	0
Q13822	0
Q07343	1
P08514	0
P14920	1
P49327	0
Q9P0X4	0
P06213	1
Q92769	1
Q86U86	0
P11926	0
P43250	1
P48147	0
Q92887	0
Q6P7A9	0
P28839	0
Q16790	1
P08581	1
P30530	1
P43166	1
Q9H2K2	1
P50578	0
