target_id	[G9.1]	[G9.2]	[G9.3]	[G9.4]	[G9.5]	[G9.6]	[G9.7]	[G9.8]	[G9.9]	[G9.10]
Q13507	362.80678	466.690763	336.650367	334.255664	261.417722	420.28355199999993	561.872549	420.215517	431.765625	411.276976
P25024	171.49830500000004	175.807229	141.91198	139.322517	91.8481013	176.584258	237.813725	164.48275900000004	157.625	173.783505
P01024	643.637288	989.534137	633.520782	642.017622	553.468354	794.178607	1070.45098	850.4137929999998	901.5625	774.176632
Q16832	348.077966	497.839357	330.254279	332.030629	264.721519	407.207871	549.2450980000001	437.982759	443.265625	397.239175
Q8NER1	343.132203	476.35743	326.564792	328.471329	266.822785	405.978809	543.931373	416.301724	436.390625	396.993127
Q99707	508.749153	743.8835339999998	470.711491	492.977343	393.075949	591.031282	809.009804	645.491379	685.5625	575.310653
P30082	222.040678	255.570281	194.237164	194.419441	136.291139	239.283552	317.794118	220.87069	227.953125	234.750515
P50416	319.413559	438.31726900000007	308.0880200000001	299.047413	249.620253	377.349142	495.480392	382.37069	401.3125	369.682474
P30542	166.640678	167.124498	129.811736	126.308671	83.03797469999998	163.374369	220.745098	155.75	146.734375	159.986942
Q99895	110.63728799999998	154.0	98.8508557	102.977622	77.4936709	121.913219	167.23529399999995	130.543103	135.828125	119.142955
Q92793	810.074576	1522.97189	860.484108	823.7702099999998	861.139241	1062.34712	1453.31373	1297.03448	1311.875	1033.7457
P30411	184.020339	206.51004	157.11735900000005	154.90042	105.202532	195.656912	263.598039	192.396552	179.609375	192.728522
P30291	220.308475	407.028112	235.608802	230.25972	222.911392	289.225025	393.441176	336.137931	375.890625	279.87835099999995
Q14534	243.447458	325.650602	218.99022	216.892028	172.443038	273.558022	368.147059	280.775862	294.078125	267.611684
O60741	344.508475	529.891566	332.491443	321.107552	285.860759	410.953582	552.7647059999998	461.793103	459.703125	401.709278
P31213	121.433898	136.18473899999998	100.694377	98.1759441	67.2025316	123.594349	158.607843	109.844828	113.203125	121.231615
