target_id	aac_pssm0	aac_pssm1	aac_pssm2	aac_pssm3	aac_pssm4	aac_pssm5	aac_pssm6	aac_pssm7	aac_pssm8	aac_pssm9	aac_pssm10	aac_pssm11	aac_pssm12	aac_pssm13	aac_pssm14	aac_pssm15	aac_pssm16	aac_pssm17	aac_pssm18	aac_pssm19
P17599	-0.33711048158600004	-0.662889518414	-0.651558073654	-1.10623229462	-2.27053824363	0.407932011331	-0.784702549575	-0.728045325779	-0.817280453258	-1.67138810198	-1.5920679886700002	-0.728045325779	-1.04390934844	-1.88668555241	0.7946175637389999	0.20821529745	-0.14305949008500002	-2.6841359773400004	-1.4645892351299998	-1.20396600567
Q62986	-0.7716981132080001	-0.7037735849060001	-0.637735849057	-1.14339622642	-0.6811320754719999	-0.0509433962264	-0.88679245283	-1.38867924528	0.152830188679	-1.1830188679200002	-0.937735849057	-1.00188679245	-0.14905660377399998	-1.22452830189	-0.38679245283	0.154716981132	-0.443396226415	-2.11698113208	-0.939622641509	-1.09433962264
O95271	-0.6880180859080001	-1.95177091183	-1.07234363225	-1.80180859081	-1.86435568953	-1.63225320271	-1.6706857573500002	-2.32856066315	-1.17407686511	-1.7385079125799998	-1.52373775433	-1.54107008289	-1.81612660136	-2.8402411454400003	-3.33082140166	-1.07761868877	-1.45139412208	-3.83345892992	-2.36397889977	-1.68274302939
P27695	-0.839622641509	-0.48427672956	-0.691823899371	-0.8427672955969999	-0.7295597484280001	-0.7704402515719999	-0.735849056604	-1.57547169811	-0.264150943396	-0.990566037736	-1.2987421383600002	-0.452830188679	-0.660377358491	-0.98427672956	-1.16981132075	-0.594339622642	-0.584905660377	-0.905660377358	-0.85534591195	-1.07232704403
P00519	-0.7424778761059999	-0.6690265486729999	-0.6796460176989999	-1.02566371681	-1.74336283186	-0.499115044248	-0.695575221239	-1.42654867257	-0.930973451327	-1.43185840708	-1.24778761062	-0.613274336283	-0.965486725664	-1.94513274336	-0.49203539823	0.0522123893805	-0.469911504425	-2.76283185841	-1.61327433628	-1.15486725664
P43250	-1.43229166667	-1.28645833333	-1.44618055556	-1.46180555556	-2.19618055556	-1.01215277778	-1.11111111111	-2.41666666667	-1.43402777778	-1.66319444444	-1.51215277778	-0.973958333333	-1.234375	-1.70486111111	-1.77430555556	-0.869791666667	-1.20486111111	-3.11979166667	-1.75347222222	-1.53645833333
P11064	-0.886075949367	-1.49367088608	-2.15189873418	-1.7848101265799998	-2.08860759494	-1.7215189873400003	-1.79746835443	-2.50632911392	-1.2848101265799998	-1.7341772151900003	-1.79746835443	-1.9050632911400005	-1.0	-2.1075949367099995	-2.84810126582	-1.55696202532	-1.5189873417700002	-2.70253164557	-1.7468354430400002	-1.70886075949
P60568	-0.516339869281	-0.7908496732029999	-0.705882352941	-1.1568627451	-1.51633986928	-0.313725490196	-0.411764705882	-1.83660130719	-1.2091503268	-0.666666666667	-0.35294117647100004	-0.43137254902	-0.248366013072	-1.24183006536	-1.23529411765	-0.333333333333	-0.18954248366	-2.2091503268	-1.14379084967	-0.588235294118
Q96S37	-0.817359855335	-1.62748643761	-1.25316455696	-2.20072332731	-0.658227848101	-1.2947558770299998	-1.8896925859	-1.52802893309	-1.20253164557	-0.437613019892	-0.529837251356	-1.7468354430400002	-0.119349005425	-0.352622061483	-1.6365280289300002	-0.457504520796	-0.4719710669080001	-0.931283905967	-0.828209764919	-0.580470162749
Q9H2K2	-0.8130360205830001	-2.13636363636	-1.22469982847	-1.9922813036	-1.81560891938	-1.87392795883	-1.90994854202	-2.64837049743	-1.38421955403	-1.7950257289900002	-1.6346483705	-1.6792452830200002	-1.90566037736	-2.92024013722	-3.74013722127	-1.2358490566	-1.65523156089	-4.0806174957099985	-2.4648370497400003	-1.81560891938
