"ChEMBL ID"	"Name"	"UniProt Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL2404"	"Estrogen receptor beta"	"Q9XSB5"	"SINGLE PROTEIN"	"Bos taurus"	"11"	"11"	"9913"	"False"
"CHEMBL2095170"	"Estrogen receptor"	"Q9XSB5|P49884"	"PROTEIN FAMILY"	"Bos taurus"	"395"	"627"	"9913"	"False"
"CHEMBL2094119"	"Glutamate receptor ionotropic, kainate"	"P22756|Q01812|P42260|P42264|Q63273"	"PROTEIN COMPLEX GROUP"	"Rattus norvegicus"	"489"	"721"	"10116"	"False"
"CHEMBL2097169"	"Adrenergic receptor beta; ADRB1 & ADRB3"	"P08588|P13945"	"SELECTIVITY GROUP"	"Homo sapiens"	"176"	"200"	"9606"	"False"
"CHEMBL4630758"	"5-hydroxytryptamine receptor 2A/Metabotropic glutamate receptor 2"	"P28223|Q14416"	"PROTEIN COMPLEX"	"Homo sapiens"	"17"	"187"	"9606"	"False"
"CHEMBL2844"	"1-acylglycerol-3-phosphate O-acyltransferase alpha"	"O35083"	"SINGLE PROTEIN"	"Mus musculus"	"1"	"7"	"10090"	"False"
"CHEMBL2446"	"Corticotropin releasing factor receptor 1"	"P35347"	"SINGLE PROTEIN"	"Mus musculus"	"62"	"121"	"10090"	"False"
"CHEMBL2111388"	"Beta-2 adrenergic receptor and beta-3 adrenergic receptor"	"P07550|P13945"	"SELECTIVITY GROUP"	"Homo sapiens"	"153"	"173"	"9606"	"False"
"CHEMBL2111477"	"Thrombin and coagulation factor VII"	"P00734|P08709"	"SELECTIVITY GROUP"	"Homo sapiens"	"162"	"175"	"9606"	"False"
"CHEMBL324"	"Serotonin 2c (5-HT2c) receptor"	"P08909"	"SINGLE PROTEIN"	"Rattus norvegicus"	"908"	"1131"	"10116"	"False"
"CHEMBL4523958"	"5-HT1A/5-HT1F"	"P30939|P08908"	"SELECTIVITY GROUP"	"Homo sapiens"	"15"	"15"	"9606"	"False"
"CHEMBL2095187"	"Muscarinic acetylcholine receptors; M2 & M3"	"P20309|P08172"	"SELECTIVITY GROUP"	"Homo sapiens"	"648"	"688"	"9606"	"False"
"CHEMBL2111418"	"Muscarinic acetylcholine receptor M1 and M3"	"P20309|P11229"	"SELECTIVITY GROUP"	"Homo sapiens"	"213"	"236"	"9606"	"False"
"CHEMBL2094123"	"Serotonin (5-HT) receptor"	"P35563|P35365|P32305|P31388|Q9JJ16|P28564|P30994|Q62758|P08909|P14842|P30940|P35364|P19327|P28565"	"PROTEIN FAMILY"	"Rattus norvegicus"	"195"	"353"	"10116"	"False"
"CHEMBL2093864"	"Adrenergic receptor alpha-2"	"P22086|P19328|P22909"	"PROTEIN FAMILY"	"Rattus norvegicus"	"2247"	"3310"	"10116"	"False"
"CHEMBL2111449"	"Coagulation factor X/antithrombin III"	"P01008|P00742"	"PROTEIN COMPLEX"	"Homo sapiens"	"6"	"28"	"9606"	"False"
"CHEMBL3244"	"Sulfonylurea receptor 2"	"Q63563"	"SINGLE PROTEIN"	"Rattus norvegicus"	"55"	"82"	"10116"	"False"
"CHEMBL4106188"	"Melanin-concentrating hormone receptor 2/HERG"	"Q12809|Q969V1"	"SELECTIVITY GROUP"	"Homo sapiens"	"14"	"14"	"9606"	"False"
"CHEMBL2424"	"Glyoxalase I"	"Q04760"	"SINGLE PROTEIN"	"Homo sapiens"	"274"	"402"	"9606"	"False"
"CHEMBL2474"	"Methionine aminopeptidase 1"	"P53582"	"SINGLE PROTEIN"	"Homo sapiens"	"463"	"612"	"9606"	"False"
"CHEMBL2111401"	"Thrombin and coagulation factor X"	"P00734|P00742"	"SELECTIVITY GROUP"	"Homo sapiens"	"140"	"145"	"9606"	"False"
"CHEMBL2095175"	"Monoamine transporters; Norepininephrine & dopamine"	"P23977|Q9WTR4"	"SELECTIVITY GROUP"	"Rattus norvegicus"	"492"	"561"	"10116"	"False"
"CHEMBL2111460"	"Dopamine D2 receptor and serotonin 1a receptor"	"P14416|P08908"	"SELECTIVITY GROUP"	"Homo sapiens"	"10"	"10"	"9606"	"False"
"CHEMBL2093870"	"Serotonin 2 (5-HT2) receptor"	"P30994|P08909|P14842"	"PROTEIN FAMILY"	"Rattus norvegicus"	"1593"	"2078"	"10116"	"False"
"CHEMBL2111379"	"Thrombin and urokinase-type plasminogen activator"	"P00734|P00749"	"SELECTIVITY GROUP"	"Homo sapiens"	"29"	"31"	"9606"	"False"
"CHEMBL2448"	"Deoxycytidylate deaminase"	"P30648"	"SINGLE PROTEIN"	"Caenorhabditis elegans"	"3"	"6"	"6239"	"False"
"CHEMBL2097175"	"Dopamine D2 receptor/Serotonin 2 (5-HT2) receptor"	"P61169|P30994|P08909|P14842"	"SELECTIVITY GROUP"	"Rattus norvegicus"	"108"	"132"	"10116"	"False"
"CHEMBL2111468"	"Dopamine D2 receptor and serotonin 2a receptor"	"P14416|P28223"	"SELECTIVITY GROUP"	"Homo sapiens"	"93"	"120"	"9606"	"False"
