target_id	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10	Xc2.lambda11	Xc2.lambda12	Xc2.lambda13	Xc2.lambda14	Xc2.lambda15	Xc2.lambda16	Xc2.lambda17	Xc2.lambda18	Xc2.lambda19	Xc2.lambda20	Xc2.lambda21	Xc2.lambda22	Xc2.lambda23	Xc2.lambda24	Xc2.lambda25	Xc2.lambda26	Xc2.lambda27	Xc2.lambda28	Xc2.lambda29	Xc2.lambda30
Q13507	14.252015431841546	10.943511849449756	8.398509093763767	9.671010471606762	3.5630038579603864	7.889508542626568	16.033517360821733	9.162009920469565	3.5630038579603864	14.252015431841546	25.195527281291298	13.234014329567149	6.6170071647835735	12.470513502861351	7.889508542626568	15.524516809684537	8.144008818195168	2.7995030312545888	8.653009369332366	14.506515707410145	0.02504357131882984	0.024880049318634332	0.023394658958395827	0.024674220070628538	0.024862716851659483	0.02575941928869372	0.022914977185772702	0.024030407442143558	0.024992900151373364	0.02485130686435896	0.02480459417509451	0.02534682349589801	0.024737702009762715	0.02413976506647171	0.024064855414202384	0.025090037878005497	0.02516683396238809	0.02544536395904566	0.025617326221641545	0.025328851914159508	0.0248935863363064	0.02536292406597782	0.02536938568263588	0.02397523645716435	0.025225305588259226	0.0241514666021578	0.02573210094335165	0.024595074412052418	0.02524465288877741	0.025803609907558103
P25024	5.857993341178192	4.792903642782156	4.792903642782156	3.1952690951881033	2.662724245990087	1.8639069721930608	2.396451821391078	4.526631218183148	2.662724245990087	5.325448491980174	15.177528202143495	2.9289966705890955	3.1952690951881033	6.390538190376207	3.1952690951881033	6.1242657657772	5.059176067381165	1.5976345475940517	3.461541519787113	7.98817273797026	0.02371059928563619	0.024208901538808197	0.02333960587909912	0.022535296796582515	0.022256676342969562	0.022340188998123102	0.02604652760849981	0.025580415282136896	0.02400458065598944	0.02252123209281074	0.024086861894392686	0.02498712097646119	0.0248507804007392	0.02369877132878206	0.02375172083087132	0.02563912324840317	0.023793942196470703	0.025441613790212383	0.02498000834495233	0.025373174425308103	0.02587430363006505	0.02410095670279326	0.026212526342216384	0.02510034607743892	0.025384505768750256	0.02546739960454155	0.02368484555495777	0.02357479212727012	0.026353292251610618	0.024827465424098773
P01024	25.14027412002357	21.252602864349825	15.809863106406574	23.32602753404249	6.9978082602127465	23.32602753404249	31.87890429652473	25.399452203735155	7.516164427635911	21.511780948061404	41.209315310141726	29.287123459408907	9.330411013616995	15.550685022694992	21.511780948061404	27.991233040850982	27.21369878971624	4.406027423096915	14.773150771560244	37.58082213817956	0.024154844928850668	0.02446815888760474	0.024896404164591338	0.025151925263631768	0.025574839959178964	0.024811243850686462	0.02459751058188672	0.024465428172256283	0.02469420642963472	0.0240915116891842	0.02490809488356961	0.025988910660451732	0.02462727847189469	0.02397978347698573	0.023678822791250876	0.02460492418510682	0.024868941780701054	0.02401507659247069	0.02493613564774463	0.0256429525771184	0.02392170519091865	0.024355861876738983	0.024754235703399626	0.024414317965442904	0.02456173119031275	0.024852633271729943	0.024962653380672543	0.02530450315923138	0.02383094281249623	0.02570633674267374
Q16832	12.40574841504002	11.113482955140016	10.079670587220015	13.956466966920022	4.135249471680006	8.787405127320014	13.181107690980019	14.214920058900022	4.652155655640007	13.181107690980019	20.15934117444003	9.045858219300014	8.012045851380012	10.855029863160016	12.40574841504002	17.316357162660026	10.855029863160016	4.135249471680006	8.270498943360012	14.214920058900022	0.025029220999614743	0.02548763742125408	0.02419801991316798	0.024791593063084857	0.023949956844331263	0.024145440224361724	0.023907644040346083	0.02380301006386986	0.025031983902548998	0.02454653558538896	0.024421343145279974	0.025048115169087167	0.025138930714931472	0.025078217442767187	0.02424924158227777	0.024963797840691016	0.024656388274770537	0.02535972641869	0.02471240790140013	0.024395265994509863	0.02555477097980647	0.024519485769055698	0.0244141690282813	0.025225435568580132	0.024639682632524144	0.02594537976680308	0.02523135480428884	0.024603588620061338	0.02492012741268256	0.023578436895542374
Q8NER1	14.388787067834938	11.305475553298882	8.479106664974159	11.819360805721555	4.111082019381411	7.194393533917469	12.59018868435557	12.333246058144233	3.340254140747396	9.76381979603085	26.20814787355649	12.84713131056691	5.9096804028607774	12.076303431932896	9.76381979603085	15.673500198891631	14.131844441623599	2.8263688883247204	8.479106664974159	12.333246058144233	0.023972559695677343	0.025326039869028552	0.02350085255970287	0.023268828349210628	0.02483009037483869	0.02515407393283846	0.024401907748022315	0.024710601997828888	0.023875403233067624	0.02488343658114089	0.025067029389708364	0.02467287150036839	0.025611051807319686	0.025024380169404264	0.02408417213581006	0.024622800684835702	0.025045191535347545	0.024903619727963764	0.026014850457753216	0.02524535047332385	0.025869407454887357	0.024548069978146927	0.024837208886419947	0.025124179220950445	0.024203745573085224	0.024457734068465603	0.024347357847861077	0.024922428867141726	0.02556170996240664	0.02497041970610589
Q99707	27.071992877920106	14.927547474740994	11.891436123946214	19.987733059398963	5.819213422356659	10.37338044854883	24.794909364824022	25.047918644056924	6.831250539288253	23.27685368942664	29.60208567024909	20.999770176330554	9.361343331617237	12.144445403179116	14.674538195508097	15.433566033206791	14.674538195508097	2.277083513096084	11.132408286247523	19.734723780166057	0.02494018300001799	0.02692781195782689	0.02398976473157981	0.02374558681209442	0.024947383790564	0.02613865830786059	0.025517292688777886	0.025207939667164624	0.024323625335351647	0.02525505583254111	0.02430891613498675	0.024947911401655583	0.02491465374657853	0.024125121131276663	0.024805052886332668	0.024439970907838556	0.024727405991257542	0.0252962120475478	0.024193389136083338	0.025139658875519943	0.02542314734549989	0.02528168425123643	0.02449091356498697	0.024104834561849985	0.02493845597689833	0.024859798033319697	0.02464390189759473	0.024992534909838857	0.0252913430328544	0.025072512810166443
P30082	7.914527709189352	5.803986986738857	3.1658110836757407	5.012534215819922	4.7487166255136115	5.276351806126233	4.221081444900986	7.386892528576728	3.957263854594676	5.276351806126233	18.994866502054442	5.540169396432546	2.9019934933694285	6.331622167351482	5.803986986738857	10.81652120255878	5.803986986738857	4.221081444900986	5.012534215819922	9.761250841333533	0.023642927761517156	0.024261464877668358	0.022662142406420054	0.0225662734183392	0.02331772647055479	0.023409335382145117	0.02468390634939406	0.02363979374359456	0.02317269650967785	0.023580596088035918	0.02532038642652652	0.024185587430811808	0.025553662260613938	0.024284548009117883	0.02493465229407612	0.024325476848458063	0.025542861794162486	0.02471849596658988	0.024757563438711685	0.026151760201551508	0.02653521229110355	0.02456468545681965	0.025043909875203628	0.025063107846008775	0.025587768967840117	0.02500702162353846	0.02546386191939573	0.024139448925195175	0.024557682445342725	0.02550785266527358
P50416	12.705233993935616	11.727908302094415	5.863954151047207	9.284594072491412	2.9319770755236036	7.08561126584871	10.506251187292914	11.972239725054715	5.619622728086908	9.528925495451713	18.324856722022524	10.750582610253216	6.5969484199281085	8.795931226570813	8.307268380650212	13.926891108737118	10.750582610253216	4.397965613285407	8.062936957689912	11.727908302094415	0.026127984026407158	0.02545805530420875	0.02385190972163809	0.024519084267333718	0.024958826257456	0.025252608824655045	0.02541173184310404	0.024588502116689184	0.02633153586627076	0.024197730308640426	0.02527694347768998	0.02578904805443697	0.02557434783178544	0.02559508913932485	0.025494799730193914	0.024058850318689172	0.025277557203309996	0.02443849666843917	0.025408147045628653	0.02493682420499168	0.02498204825147033	0.02567825620844949	0.02514389173936166	0.02634786110992156	0.02490912250041646	0.02493686843407873	0.02534037506437044	0.023901200620253027	0.026172296617799358	0.02570858428268546
P30542	8.881908830085248	3.3307158112819684	3.3307158112819684	2.498036858461476	2.498036858461476	2.220477207521312	3.0531561603418034	3.3307158112819684	1.38779825470082	8.604349179145084	11.379945688546725	4.16339476410246	2.498036858461476	5.273633367863115	6.106312320683607	4.996073716922952	2.77559650940164	1.942917556581148	3.3307158112819684	8.881908830085248	0.02282164999900084	0.022231269126376844	0.02216980472319141	0.022266711256529962	0.022311390655756817	0.02205198061275056	0.02370346253496633	0.02286356896985758	0.02449647478211357	0.02316933926574113	0.02438217111306699	0.02270378838916686	0.023704106159588283	0.023948503892887718	0.02340385622555539	0.023815207999645517	0.02389585846527485	0.02414665777230032	0.02484736143908321	0.0243925638567322	0.026187996785149728	0.02664422097034147	0.02593778881976824	0.025720839264729217	0.02557360239086344	0.024965355297474387	0.025872706443717114	0.02635773571466089	0.02409466815894353	0.023759707974601564
Q99895	4.7630051327980425	3.5095827294301367	3.5095827294301367	3.5095827294301367	2.757529287409393	2.005475845388649	2.757529287409393	6.0164275361659465	1.7547913647150684	3.5095827294301367	6.51779649751311	3.0082137680829732	0.7520534420207435	1.5041068840414866	3.0082137680829732	4.512320652124461	3.7602672101037182	2.506844806735812	1.5041068840414866	6.0164275361659465	0.024006612499145832	0.023628494855442144	0.02474862460008535	0.02609940532665514	0.025256875910488728	0.02323336680980532	0.02390915139031406	0.023724577439724743	0.023353603960961485	0.026460533356737117	0.02523410109795101	0.02597929324019306	0.026433476541808887	0.02476062117213925	0.02455104150725052	0.023990444671203197	0.023948502408934858	0.02477852812836876	0.026155241563963216	0.025623262308339008	0.026372877864745167	0.026718050128715073	0.024931459924276488	0.023021561532433368	0.025283954949070733	0.025070265217363916	0.024045778026833282	0.026240135849883724	0.0262387771504818	0.0255168998931038
